a0,a1,a2,a3,a4,a5,a6,a7,a8,labels
125,93.0,5,224.61707054898233,13,10,0.24161594265414385,1,4,3.0
737,127.0,4,185.57506026003028,16,5,0.3371408556550529,56,6,4.0
711,140.0,6,20.458741436240054,14,1,0.7678914291576622,2,1,4.0
871,92.0,8,159.53605133767164,15,3,0.757284511747336,18,5,5.0
510,79.0,2,297.7077019645198,16,5,0.47498998463988684,29,6,4.0
721,138.0,7,74.87887153245099,10,1,0.16966370037130518,85,1,4.0
393,69.0,3,99.1172487917824,19,7,0.56254487570933,74,5,3.0
573,106.0,1,135.33606302460566,6,2,0.47740891067880864,5,2,3.0
917,78.0,8,163.47666420885201,17,10,0.3125131001172468,57,4,5.0
116,73.0,4,12.944789185796774,4,2,0.6325452938416047,10,3,3.0
324,64.0,7,249.42031331343458,19,1,0.4116194335099353,76,2,4.0
239,70.0,1,26.996489760934725,18,9,0.040429071543528275,74,3,2.0
353,75.0,3,82.1445704172315,15,8,0.32173094763555166,10,3,3.0
409,104.0,3,141.23910718809802,11,4,0.17987078646777813,12,2,3.0
367,91.0,2,59.71069800594423,8,6,0.565670809011356,56,3,3.0
680,90.0,7,287.3843187298221,13,2,0.6265059740516074,36,1,5.0
277,88.0,8,128.65190006030392,4,4,0.02781588371652227,42,3,2.0
117,116.0,8,172.28145556855287,19,8,0.07404994020620571,93,1,2.0
556,66.0,5,109.67383645665707,16,2,0.3573004939003507,67,3,4.0
563,105.0,6,50.07847360808126,3,2,0.36354946267412175,31,1,4.0
167,105.0,1,147.35243508551534,2,9,0.1017117666363578,2,4,2.0
595,88.0,6,116.57782502938062,7,10,0.11498077521166805,37,4,3.0
45,67.0,7,127.18635283473188,8,7,0.5649960972785465,87,6,3.0
121,69.0,3,25.500593371668277,0,7,0.3193683918244292,22,2,2.0
627,78.0,5,145.845241555117,16,7,0.6766908653837405,73,6,4.0
571,87.0,7,274.02353326905745,13,3,0.8658539427862931,72,8,5.0
833,98.0,5,274.4158824276191,7,3,0.9036067420568662,10,4,5.0
850,113.0,1,245.51903187986974,20,5,0.8896362365777299,91,2,4.0
957,108.0,2,28.861830995263837,10,8,0.2875684364228393,19,8,4.0
67,71.0,4,118.30494707168778,20,2,0.0797924082798472,29,7,2.0
473,107.0,6,199.71297783929126,5,2,0.9200612544398682,42,1,4.0
690,113.0,5,206.94427402283682,1,8,0.7876781966184977,36,7,4.0
307,73.0,6,190.25075927921534,15,3,0.3934418902111797,42,1,3.0
272,80.0,8,55.5120842925099,13,6,0.09637723251210564,43,1,3.0
649,85.0,5,282.59499696310763,0,6,0.6306551372596139,59,5,4.0
833,77.0,4,285.8902207238383,15,8,0.7249908679809407,17,4,5.0
74,126.0,7,204.7596810678642,6,3,0.8134001206542558,64,7,3.0
243,78.0,5,22.602172372450585,10,10,0.8201663300725157,13,5,3.0
547,110.0,4,82.4325507091275,0,6,0.1236188392110061,31,8,3.0
247,117.0,5,173.45450073880747,17,6,0.8434226561323378,46,1,4.0
659,134.0,6,252.0935155816796,3,9,0.09245406927062409,75,6,3.0
48,80.0,1,53.34655317733921,2,5,0.3362798623749624,46,6,2.0
740,94.0,2,213.5206981099913,8,9,0.2430074735886424,68,8,3.0
738,91.0,7,68.51516402028133,11,3,0.40432271306424805,65,2,4.0
253,119.0,6,27.820926091292776,14,7,0.6499272448695863,87,7,3.0
230,109.0,1,164.40210508377595,14,7,0.579031792601818,47,1,3.0
617,76.0,5,55.194416679310905,4,3,0.5810457519883324,29,5,4.0
133,107.0,4,44.65207114285977,9,1,0.554253372720267,89,8,3.0
746,80.0,1,22.84245045896778,18,1,0.7260723478351407,53,3,4.0
118,83.0,4,267.69771385216427,5,8,0.5222913246722994,42,3,3.0
289,105.0,7,98.6040884288601,5,2,0.707646573371177,33,8,3.0
475,70.0,1,198.09215975146859,18,1,0.61861087403025,98,7,3.0
590,95.0,5,273.475381442705,19,9,0.11326021375654852,4,1,3.0
145,84.0,6,32.62822222836485,8,9,0.4169889536941654,4,3,3.0
56,78.0,8,264.5851505274282,8,9,0.9664311581636139,25,7,3.0
202,86.0,4,262.4789930894769,20,10,0.3659218674654036,46,3,3.0
980,123.0,8,41.096326855196786,13,2,0.022901740960568427,60,4,3.0
375,129.0,8,241.17767835317625,20,4,0.7892700824768716,86,2,4.0
21,105.0,3,205.24140143197323,8,8,0.3681296097590781,17,2,2.0
546,80.0,6,179.12882924564718,4,9,0.8461191307330493,26,2,4.0
79,66.0,5,138.64797990520051,17,9,0.5453783120776052,59,5,3.0
222,74.0,7,2.9809565498974497,4,1,0.47278567598484056,56,6,3.0
182,70.0,1,53.88876515062303,15,6,0.2736669369511758,37,6,2.0
694,96.0,5,13.332182420829344,1,8,0.07188060856430799,41,2,3.0
52,88.0,6,202.73781564870393,9,7,0.9594518984099861,62,6,3.0
256,98.0,3,285.8923452881374,0,3,0.02172828807001996,5,4,2.0
341,126.0,8,21.322971959098577,3,6,0.48424131559746736,1,6,3.0
901,115.0,5,36.67850159917331,6,6,0.937191255550354,48,7,5.0
283,129.0,8,253.23337070604805,20,3,0.9604924194681507,76,6,4.0
39,74.0,4,206.67304678153894,4,6,0.8502134822924127,4,6,3.0
784,95.0,8,210.60147452988028,1,6,0.46292340679579846,100,7,4.0
503,93.0,5,242.0097829070237,7,1,0.5122780904814884,31,2,4.0
327,110.0,1,253.88852931245512,20,1,0.5794980302640377,40,1,3.0
612,103.0,1,37.729343866527856,2,5,0.08340690094794409,7,8,2.0
970,91.0,2,65.98139634802511,11,9,0.985462367437145,20,3,5.0
31,88.0,8,250.09249434520405,18,3,0.4745186274293869,99,6,3.0
847,72.0,6,131.58852567258376,3,5,0.9630323488508908,27,5,5.0
35,99.0,6,200.78782161542063,1,3,0.054479095355562085,65,8,2.0
997,82.0,8,124.15370551852224,4,2,0.35220756461417446,63,2,5.0
88,93.0,2,61.967722225162596,2,8,0.049274722836256044,91,4,2.0
724,69.0,6,87.84626042098608,11,3,0.2658387188412423,95,5,4.0
720,95.0,3,26.736405095279743,10,2,0.32787094679453804,2,7,4.0
605,82.0,3,84.23005292853288,7,10,0.7579985588963757,84,2,4.0
106,109.0,3,204.7275140697926,11,5,0.6596041674990437,73,7,3.0
487,125.0,8,29.817272238107236,2,4,0.4392349900854315,100,6,3.0
502,95.0,4,207.3874559949529,8,8,0.8139017083056468,28,7,4.0
89,76.0,2,71.74940415222802,5,6,0.6014059533599865,63,4,2.0
471,77.0,7,194.28794253231453,11,1,0.14558122063875406,95,8,3.0
160,100.0,4,179.92438750139166,18,5,0.28837123645523105,89,6,3.0
358,88.0,5,165.2907962405717,0,7,0.827035278868542,45,6,3.0
315,68.0,6,128.6179602658451,11,3,0.17239928298973833,5,7,3.0
496,102.0,7,120.4472672379146,6,7,0.6504168711374515,22,5,4.0
993,108.0,1,290.48440556016783,8,1,0.21267838916159326,35,6,4.0
43,78.0,3,276.0279725386921,9,10,0.43365012341611836,18,6,2.0
995,90.0,4,201.14803960330556,16,10,0.7103011328388259,98,7,5.0
556,114.0,8,24.106018941757732,11,4,0.7310923143434722,35,8,4.0
812,93.0,7,299.7779844911641,20,9,0.06891304551449062,71,8,3.0
468,123.0,2,246.8190489393417,3,10,0.754889717900196,5,8,3.0
668,97.0,2,109.8436823684624,4,6,0.19078215979553587,3,4,3.0
990,80.0,1,181.8774651271364,8,8,0.31599519042925156,50,4,4.0
126,94.0,7,168.33577422476927,18,4,0.48943718216355936,4,2,3.0
690,96.0,3,218.90113780072193,11,8,0.5682819947790708,44,1,4.0
307,89.0,4,74.08370811570414,6,7,0.5538543059679623,50,5,3.0
635,91.0,1,67.43542905663165,19,9,0.9301679066155306,21,4,4.0
816,114.0,7,55.63297177808163,3,3,0.3604604172519733,4,7,4.0
970,116.0,6,19.840757799499862,19,9,0.3324937345313709,70,6,4.0
784,94.0,6,110.41549316055595,10,3,0.5700803008312401,44,7,5.0
481,77.0,7,10.730896988755955,11,5,0.6998475034964414,20,7,4.0
370,105.0,3,81.91821711392981,13,9,0.381485306492665,77,1,3.0
795,64.0,4,239.200164784831,3,8,0.07719100951352978,87,3,3.0
613,104.0,8,230.8389640794088,17,5,0.9624761510425345,66,3,5.0
384,93.0,1,1.0705604488900626,17,4,0.11886306457871725,86,5,2.0
238,129.0,6,122.9405187244266,20,9,0.169063778006026,95,7,3.0
26,70.0,2,256.11781981574865,10,3,0.29108012461284555,47,5,2.0
468,107.0,2,217.8558984395353,1,7,0.6095587370566604,16,8,3.0
448,106.0,7,32.57957731445738,0,3,0.057892522140229385,28,2,2.0
876,96.0,8,95.55504110322289,12,2,0.35382904216380473,71,7,5.0
995,77.0,1,77.82604322791326,7,2,0.028557728314042276,32,4,3.0
308,91.0,1,256.65478624481824,15,1,0.04899377653797306,43,6,2.0
215,90.0,8,38.210685686007984,13,9,0.18810899439775455,70,7,3.0
253,114.0,2,180.96644187970645,8,5,0.8701629306455091,92,7,3.0
313,102.0,8,44.0502223508343,18,3,0.5768986739930286,20,7,4.0
988,73.0,3,297.71317758794265,5,2,0.8829875804244082,97,5,5.0
514,69.0,1,74.89711108860891,2,9,0.5677304824343308,86,3,3.0
898,109.0,2,143.57276135522218,17,9,0.08860896905379284,12,4,3.0
218,86.0,5,92.87150766068874,8,1,0.6647507351703156,45,2,3.0
470,79.0,4,188.0866988884061,3,10,0.05865289501787828,66,5,3.0
704,90.0,2,163.73854481178867,18,4,0.9126613675985249,56,6,4.0
861,91.0,3,186.697057208672,19,1,0.9651211335556488,50,8,5.0
594,91.0,2,281.6923186414815,15,9,0.05524579473929854,100,1,3.0
37,77.0,6,106.28257367055573,4,4,0.8927861421610268,34,8,3.0
111,90.0,7,81.63459316025585,1,7,0.6065740872272958,77,5,3.0
577,104.0,7,122.44972478987086,4,4,0.183306443906248,6,2,3.0
963,82.0,4,198.33341004770915,1,4,0.9328034611236452,51,6,5.0
884,133.0,2,108.83610468998789,12,5,0.738076278808641,49,8,5.0
601,93.0,7,131.33083395171516,10,5,0.5073630271099232,27,5,4.0
419,86.0,5,30.542432293871265,0,6,0.6641152020640777,3,6,3.0
374,68.0,2,212.10213197236402,1,1,0.8541332384430539,22,1,3.0
561,79.0,7,118.63556794400372,5,5,0.18920188771386964,27,2,3.0
936,84.0,3,23.29748386902613,6,6,0.49741849734782906,23,8,4.0
472,70.0,3,206.32519971509768,6,1,0.08951736544019025,42,1,3.0
465,92.0,5,293.6566539403542,2,10,0.020938887073541856,29,6,2.0
138,112.0,8,102.1422294176685,20,7,0.2238894291436548,39,8,3.0
42,91.0,7,185.52828586059314,7,8,0.7176456430438765,40,8,3.0
858,98.0,1,169.21161480740864,16,8,0.33206859846064646,50,3,4.0
764,100.0,8,203.69827815876673,2,6,0.7459004397212342,76,3,5.0
425,69.0,2,172.37010780953662,9,5,0.9185627595044418,28,6,3.0
731,66.0,4,139.19422373281742,1,8,0.683768069263604,100,5,4.0
984,116.0,2,0.12312080735105528,19,6,0.690496553138854,55,1,5.0
950,109.0,1,66.94610522113548,15,1,0.4683942808713004,2,2,4.0
239,87.0,3,55.47626779447236,12,7,0.16263419751005015,26,6,3.0
263,100.0,5,112.7081036043481,13,8,0.1808124000113236,87,6,3.0
272,92.0,5,166.0372242260644,16,1,0.6137025585425445,6,6,4.0
274,119.0,1,16.937226864452864,2,2,0.22270521246615088,87,6,2.0
533,90.0,4,202.39745067977998,16,7,0.022500321536160384,45,7,2.0
645,103.0,1,222.37681805846145,18,2,0.13501343352949913,25,6,3.0
901,106.0,2,193.14559584826185,6,6,0.5676924204427114,89,8,4.0
793,99.0,4,113.7925660111655,5,6,0.6184104246227012,33,2,4.0
507,90.0,1,225.50237320084673,1,10,0.44862659526028265,35,6,3.0
582,113.0,8,124.14046140801432,8,3,0.8945683968352017,5,2,4.0
347,85.0,1,63.720797296395716,1,9,0.2355848957782781,69,3,2.0
500,114.0,2,81.57023380868232,15,7,0.04200895408106448,72,2,2.0
286,104.0,7,295.7988330576962,11,6,0.044353220455422705,61,2,2.0
785,81.0,3,299.53231212583347,5,5,0.7935673227598321,84,1,4.0
671,71.0,8,235.1485256850083,18,7,0.925310019318319,42,6,5.0
828,84.0,2,88.97625046407462,12,3,0.09456516902164275,96,8,3.0
669,110.0,6,287.6008011664188,6,6,0.9493669104363864,71,2,5.0
424,128.0,4,277.6058133499619,11,10,0.2405268833948066,25,8,3.0
942,89.0,4,115.89650462154613,6,1,0.22260979408154982,8,1,4.0
582,113.0,4,99.59227304157803,16,5,0.25729936279922255,76,1,3.0
246,73.0,6,205.67290619494213,11,7,0.5444206410236403,24,7,3.0
857,86.0,3,188.7397777407368,2,1,0.048107133269619635,17,6,3.0
12,102.0,4,135.0346623613974,0,2,0.34489261340373334,22,8,2.0
818,130.0,7,153.42321549711346,17,6,0.15739381857267423,94,6,4.0
524,89.0,3,227.7865679349629,2,4,0.4462222346851161,45,1,3.0
525,81.0,5,68.88174331524385,6,2,0.93339612049216,2,2,4.0
120,116.0,8,54.03745778690647,19,4,0.39267886612139447,50,8,3.0
571,68.0,6,59.35536781644096,11,8,0.48083979524224746,59,1,4.0
177,97.0,8,259.05526635179797,9,2,0.8008511041368978,14,8,3.0
865,120.0,8,293.7880675852078,19,9,0.2516642536919579,39,6,4.0
782,85.0,6,290.1388777971695,9,10,0.2617896227015792,76,7,4.0
868,113.0,5,111.80404103313144,15,1,0.24299301574622756,46,4,4.0
136,90.0,3,138.6395742868063,5,8,0.9521826313024626,10,2,3.0
991,69.0,8,249.57719964196534,0,7,0.019083277972657783,34,8,3.0
994,79.0,2,216.880915653003,10,4,0.48435875433032793,27,4,5.0
713,85.0,5,270.50327051597236,5,10,0.962918997935445,15,8,5.0
822,108.0,6,18.74082400232593,10,3,0.5438807902382466,41,6,5.0
598,136.0,4,297.22541569787677,6,5,0.5606247355330366,19,3,4.0
250,101.0,5,9.079603933653017,4,2,0.20080713257077573,21,2,3.0
86,125.0,7,228.19588492760255,15,3,0.29922746176848747,8,3,3.0
725,96.0,4,250.69816658441223,20,5,0.731468048806871,23,5,5.0
170,74.0,6,166.18556735713202,9,8,0.37988146782299276,34,5,3.0
170,112.0,4,178.91735638753528,14,7,0.13723170099475615,53,6,2.0
249,93.0,4,94.26873192569805,11,9,0.0105651498439775,55,6,2.0
569,111.0,7,102.35584707910074,14,2,0.5875870580003667,14,1,4.0
741,65.0,4,12.148615991916625,3,9,0.2823707944229182,88,4,4.0
786,77.0,3,283.77014120291835,8,1,0.9942978191857654,4,7,5.0
874,69.0,1,86.51680808543165,2,7,0.5127275777492915,19,8,4.0
607,114.0,6,36.90924154760205,2,7,0.5048156215863934,82,8,4.0
678,111.0,4,114.25400047514589,11,2,0.7236020056368165,41,3,4.0
259,85.0,5,230.1470569066194,8,4,0.07267538729344225,30,7,2.0
284,114.0,7,275.95852397408225,20,8,0.10146714317602556,28,2,3.0
789,100.0,2,276.51313658318804,18,3,0.11166878212089151,9,7,3.0
89,72.0,7,220.9751309751248,12,8,0.908450765546513,30,1,3.0
900,80.0,2,232.0622451892289,15,6,0.01824046663264406,58,4,3.0
949,93.0,4,72.53284228285303,18,6,0.19691418471779698,36,6,4.0
890,95.0,1,149.4268949114348,6,8,0.9903749259998423,81,2,4.0
916,65.0,5,26.364298266568053,8,8,0.46556213279052616,87,2,4.0
456,109.0,1,203.61264999928332,1,4,0.6669433970651538,20,5,3.0
606,133.0,2,214.1491577648766,1,10,0.3976326136055943,94,6,3.0
641,94.0,5,223.25146131212918,18,6,0.47919504988605066,79,7,4.0
125,126.0,1,70.20689648835044,6,5,0.6095832991973105,49,3,2.0
861,145.0,3,9.485455741838685,15,4,0.9292229743691219,58,4,5.0
722,143.0,7,177.59271104439657,7,5,0.1092893159964462,68,6,3.0
595,129.0,1,17.754019709633273,16,8,0.8885487196927233,11,1,4.0
481,69.0,2,138.58585541040406,7,2,0.7052161389118032,7,7,3.0
305,109.0,8,83.12195534771399,6,2,0.2574462239895781,57,6,3.0
758,69.0,3,48.80372949082363,4,2,0.5643570585002056,28,1,4.0
844,113.0,1,104.38365483579288,0,1,0.8248724310695412,15,4,4.0
27,140.0,2,204.9509932561118,0,5,0.2596854364958215,8,6,2.0
752,75.0,5,287.0515427575325,5,1,0.7272364704378872,5,7,4.0
66,95.0,3,142.70975756942624,8,6,0.7622405739122883,92,7,3.0
93,90.0,5,273.63392286800035,6,1,0.7966373888572332,81,3,3.0
209,87.0,5,215.4782565667641,20,2,0.7310945912360689,22,7,3.0
400,66.0,2,147.29336309273606,13,5,0.12997015859115943,10,3,3.0
566,113.0,8,191.76423191298232,11,7,0.014864942074601439,29,1,2.0
769,68.0,6,34.06166190921791,10,7,0.6017783923960758,93,6,4.0
35,94.0,2,108.50814273868336,19,9,0.7743064110434692,22,3,3.0
606,112.0,3,170.73496022740895,8,5,0.5056324301407062,41,3,4.0
644,98.0,1,128.67514786501815,9,7,0.4941634531937057,47,2,3.0
282,85.0,6,191.42201404237173,8,2,0.23660326466418274,21,2,3.0
989,83.0,2,280.4212281535872,6,8,0.4051158288410153,54,8,4.0
697,129.0,7,149.43531029510453,5,1,0.9680010580690812,6,6,5.0
751,84.0,7,85.53884141940006,9,3,0.5075697313935481,100,4,4.0
494,89.0,7,296.78569451262683,7,3,0.6928668318233214,100,3,4.0
331,129.0,2,242.63028173115833,19,9,0.2205980379791625,71,2,3.0
228,91.0,2,143.3329787608661,16,6,0.9573496178710066,76,7,3.0
403,94.0,6,212.30681072307027,11,9,0.7867741631185261,31,7,4.0
149,97.0,3,202.92333728403344,4,6,0.9130147448841797,99,3,3.0
427,78.0,2,90.6118284606141,5,9,0.5962132793815847,23,6,3.0
607,105.0,6,154.10802143345876,15,5,0.03114763272379773,73,6,3.0
666,87.0,7,138.48457276275926,7,10,0.828633736074295,63,6,5.0
143,82.0,2,271.33682395565006,13,3,0.652886017080944,100,4,3.0
828,80.0,2,286.9932523625414,19,4,0.3292772341690251,49,7,4.0
219,78.0,4,225.53932630746957,3,9,0.032413400280579714,75,6,2.0
666,87.0,8,276.92123149115304,2,1,0.3986591281918647,32,8,4.0
616,105.0,4,3.9651550210774182,4,10,0.6736908354198194,11,1,4.0
78,101.0,2,210.52705441351682,3,9,0.6473928535938293,83,5,2.0
442,94.0,5,219.89336295970688,18,9,0.3949738297072741,61,7,4.0
596,114.0,1,139.72796756757066,15,7,0.07591831976550305,38,2,3.0
915,63.0,3,274.875448694428,12,9,0.8451543282464501,86,1,5.0
743,101.0,1,278.00360650074674,4,4,0.03050601973079828,85,4,2.0
93,73.0,2,191.68880512925537,1,8,0.5579106797276713,83,7,2.0
75,91.0,5,103.99771768344519,2,9,0.475599564837257,53,3,3.0
745,76.0,3,146.01445330873693,18,1,0.23953653530583133,40,7,4.0
151,74.0,2,255.9925398666436,18,7,0.31049762348677146,72,4,3.0
747,91.0,1,133.25360833138777,14,2,0.4759336324426575,47,3,4.0
734,89.0,7,249.99709447818375,10,2,0.727002320957556,60,3,5.0
405,77.0,5,161.37790370503902,18,10,0.0930274845957255,74,3,3.0
154,101.0,1,261.93406945620893,14,10,0.19651427898431487,89,7,2.0
257,80.0,2,160.5171969019615,11,3,0.9690521766680902,82,6,3.0
318,122.0,2,27.54419726547113,3,10,0.06903845681267338,38,7,2.0
866,78.0,8,182.43727660419063,8,8,0.034245526436487934,28,8,3.0
941,89.0,4,177.86997175527588,5,9,0.1292243552692432,27,3,4.0
852,109.0,1,186.84017568023862,12,1,0.5584612141005861,65,4,4.0
900,105.0,6,191.65680606329687,1,8,0.11259565054168612,2,3,3.0
890,105.0,3,279.63021580275216,19,7,0.655093555503474,46,2,5.0
243,67.0,7,227.58662238821643,2,10,0.10600786606523943,18,3,2.0
365,72.0,3,271.8261674504824,9,7,0.4623013388156984,34,4,3.0
751,92.0,1,199.3452621272199,15,3,0.04907834313336952,71,2,3.0
451,94.0,8,121.01141520827446,20,1,0.9764975546263263,94,2,5.0
608,116.0,1,64.32646546259886,19,6,0.49740943789210046,3,3,3.0
278,104.0,7,27.7252628551029,15,2,0.7110270110801279,60,5,4.0
443,94.0,2,269.3983465129243,7,7,0.031345813377032926,58,4,2.0
51,78.0,8,28.057719302509923,16,4,0.8063434482653917,21,4,3.0
915,71.0,7,242.59003180635972,10,3,0.0178816972929015,95,3,3.0
644,112.0,7,6.372505148604035,18,4,0.3953490882437415,72,5,4.0
486,73.0,6,92.82538786017287,4,7,0.7544754250236754,37,4,4.0
